year,type,title,note,journal,doi,author,ENTRYTYPE,ID
2004,Journal,a formal approach to component adaptation,251,Journal of Systems and Software,10.1016/j.jss.2003.05.007,Bracciali A.,article,RRexportAndreaBracciali2004
2008,Book,fshell: systematic test case generation for dynamic analysis and measurement,52,LNCS,10.1007/978-3-540-70545-1_20,Holzer A.,article,RRexportAndreasHolzer2008
2008,Book,query-driven program testing,42,LNCS,10.1007/978-3-540-93900-9_15,Holzer A.,article,RRexportAndreasHolzer2008
2010,InProceedings,how did you specify your test suite,47,Unknown Venue,10.1145/1858996.1859084,Holzer A.,article,RRexportAndreasHolzer2010
2011,Book,seamless testing for models and code,5,LNCS,10.1007/978-3-642-19811-3_20,Holzer A.,article,RRexportAndreasHolzer2011
1997,Book,specification-based testing of concurrent systems,27,Springer eBooks,10.1007/978-0-387-35271-8_1,Ulrich A.,article,RRexportAndreasUlrich1997
1999,Book,architectures for testing distributed systems,56,IFIP advances in information and communication technology,10.1007/978-0-387-35567-2_7,Ulrich A.,article,RRexportAndreasUlrich1999
2007,InProceedings,performance analysis of flexray-based ecu networks,70,Proceedings - ACM IEEE Design Automation Conference,10.1145/1278480.1278554,Hagiescu A.,article,RRexportAndreiHagiescu2007
2010,Journal,"conditional partial order graphs: model, synthesis, and application",48,IEEE Transactions on Computers,10.1109/tc.2010.58,Mokhov A.,article,RRexportAndreyMokhov2010
2006,Journal,generating interaction test cases for mobile phone systems from use case specifications,23,ACM SIGSOFT Software Engineering Notes,10.1145/1218776.1218788,Figueiredo A.L.L.D.,article,RRexportAndréL.L.deFigueiredo2006
2008,Book,applications of graph transformations with industrial relevance,250,LNCS,10.1007/978-3-540-89020-1,Schürr A.,article,RRexportAndySchürr2008
2010,Book,mutation-based test case generation for simulink models,64,LNCS,10.1007/978-3-642-17071-3_11,Brillout A.,article,RRexportAngeloBrillout2010
2008,Book,regional logic for local reasoning about global invariants,104,LNCS,10.1007/978-3-540-70592-5_17,Banerjee A.,article,RRexportAnindyaBanerjee2008
