year,type,title,note,journal,doi,author,ENTRYTYPE,ID
2007,Journal,hotl: hypotheses and observations testing logic,39,The Journal of Logic and Algebraic Programming,10.1016/j.jlap.2007.03.002,Rodríguez I.,article,RRexportIsmaelRodríguez2007
2009,Book,a general testability theory,18,LNCS,10.1007/978-3-642-04081-8_38,Rodríguez I.,article,RRexportIsmaelRodríguez2009
2001,Journal,enhancements to lotos (e-lotos),38,Unknown Venue,None,Iec I.,article,RRexportIsoIec2001
1985,Journal,algebra of communicating processes with abstraction,638,Theoretical Computer Science,10.1016/0304-3975(85)90088-x,Bergstra J.,article,RRexportJ.A.Bergstra1985
1998,Journal,global business process re-engineering: a system dynamics-based approach,57,International Journal of Operations & Production Management,10.1108/01443579810225478,Ashayeri J.,article,RRexportJ.Ashayeri1998
2000,InProceedings,pulse-i: deriving instances from a product line infrastructure,37,Unknown Venue,10.1109/ecbs.2000.839882,Bayer J.,article,RRexportJ.Bayer2000
2000,Journal,generating real-time software test cases by time petri nets,5,International Journal of Computers and Applications,10.1080/1206212x.2000.11441618,Lin J.,article,RRexportJ.C.Lin2000
1990,Book,process algebra,965,Unknown Venue,None,Baeten J.C.M.,article,RRexportJ.C.M.Baeten1990
1991,Journal,real time process algebra,372,Formal Aspects of Computing,10.1007/bf01898401,Baeten J.C.M.,article,RRexportJ.C.M.Baeten1991
2003,InProceedings,separation logic: a logic for shared mutable data structures,2111,Unknown Venue,10.1109/lics.2002.1029817,Reynolds J.,article,RRexportJ.C.Reynolds2003
2005,InProceedings,is mutation an appropriate tool for testing experiments,796,Unknown Venue,10.1145/1062455.1062530,Andrews J.H.,article,RRexportJ.H.Andrews2005
2005,Journal,a formal semantics for weak references,5,Unknown Venue,None,Hallet J.J.,article,RRexportJ.J.Hallet2005
1990,Journal,the z notation: a reference manual,3,Unknown Venue,10.1016/0167-6423(90)90091-q,Spivey J.M.,article,RRexportJ.M.Spivey1990
1993,Book,towards a mathematical science of computation,74,Studies in cognitive systems,10.1007/978-94-011-1793-7_2,McCarthy J.,article,RRexportJ.McCarthy1993
2004,InProceedings,a programming model for the orchestration of web services,27,Unknown Venue,10.1109/sefm.2004.2,Misra J.,article,RRexportJ.Misra2004
2003,InProceedings,object ownership for dynamic alias protection,32,Unknown Venue,10.1109/tools.1999.809424,Noble J.,article,RRexportJ.Noble2003
2005,InProceedings,fortest: formal methods and testing,27,Unknown Venue,10.1109/cmpsac.2002.1044538,Bowen J.,article,RRexportJ.P.Bowen2005
1982,Book,specification and verification of concurrent systems in cesar,1267,LNCS,10.1007/3-540-11494-7_22,Queille J.P.,article,RRexportJ.P.Queille1982
2001,InProceedings,the simulation semantics of systemc,114,"Design, Automation, and Test in Europe",10.5555/367072.367091,Ruf J.,article,RRexportJ.Ruf2001
2006,Journal,model based testing with labelled transition systems,1,CTIT technical report series,None,Tretmans J.,article,RRexportJ.Tretmans2006
1997,InProceedings,interface-based design,307,Unknown Venue,10.1145/266021.266060,Rowson J.A.,article,RRexportJamesA.Rowson1997
1976,Journal,symbolic execution and program testing,2920,Communications of the ACM,10.1145/360248.360252,King J.C.,article,RRexportJamesC.King1976
1997,Book,mobile agents,668,Unknown Venue,None,White J.E.,article,RRexportJamesE.White1997
1998,Book,flexible alias protection,344,LNCS,10.1007/bfb0054091,Noble J.,article,RRexportJamesNoble1998
1999,Book,"prototype-based programming: concepts, languages and applications",57,Springer eBooks,None,Noble J.,article,RRexportJamesNoble1999
2000,Book,design and use of software architectures: adopting and evolving a product-line approach,1215,Unknown Venue,None,Bosch J.,article,RRexportJanBosch2000
1990,InProceedings,transition system specifications with negative premises (extended abstract),19,International Conference on Concurrency Theory,None,Groote J.F.,article,RRexportJanFrisoGroote1990
2006,Book,transition system specifications with negative premises,42,Springer eBooks,10.1007/bfb0039069,Groote J.F.,article,RRexportJanFrisoGroote2006
2012,Book,"model based specification, verification, and test generation for a safety fieldbus profile",7,LNCS,10.1007/978-3-642-33678-2_8,Krause J.,article,RRexportJanKrause2012
2010,Journal,verification of flexray start-up mechanism by timed automata,6,Metrology and Measurement Systems,10.2478/v10178-010-0039-z,Malinský J.,article,RRexportJanMalinský2010
1996,Book,from testing theory to test driver implementation,24,LNCS,10.1007/3-540-60973-3_106,Peleska J.,article,RRexportJanPeleska1996
2011,Book,a real-world benchmark model for testing concurrent real-time systems in the automotive domain,48,LNCS,10.1007/978-3-642-24580-0_11,Peleska J.,article,RRexportJanPeleska2011
2008,Book,linking programs to architectures: an object-oriented hierarchical software model based on boxes,11,LNCS,10.1007/978-3-540-85289-6_10,Schäfer J.,article,RRexportJanSchäfer2008
2010,InProceedings,jcobox: generalizing active objects to concurrent components,120,European Conference on Object-Oriented Programming,10.5555/1883978.1883996,Schäfer J.,article,RRexportJanSchäfer2010
2010,Book,jcobox: generalizing active objects to concurrent components,75,LNCS,10.1007/978-3-642-14107-2_13,Schäfer J.,article,RRexportJanSchäfer2010
2009,Book,implicit dynamic frames: combining dynamic frames and separation logic,113,LNCS,10.1007/978-3-642-03013-0_8,Smans J.,article,RRexportJanSmans2009
1996,Book,minimizable timed automata,36,LNCS,10.1007/3-540-61648-9_38,Springintveld J.,article,RRexportJanSpringintveld1996
2001,Journal,testing timed automata,279,Theoretical Computer Science,10.1016/s0304-3975(99)00134-6,Springintveld J.,article,RRexportJanSpringintveld2001
1993,Journal,a formal approach to conformance testing,261,Unknown Venue,None,Tretmans J.,article,RRexportJanTretmans1993
1996,Journal,"test generation with inputs, outputs and repetitive quiescence",509,Unknown Venue,None,Tretmans J.,article,RRexportJanTretmans1996
1996,Book,"test generation with inputs, outputs, and quiescence",148,LNCS,10.1007/3-540-61042-1_42,Tretmans J.,article,RRexportJanTretmans1996
1996,Journal,conformance testing with labelled transition systems: implementation relations and test generation,188,Computer Networks and ISDN Systems,10.1016/s0169-7552(96)00017-7,Tretmans J.,article,RRexportJanTretmans1996
1999,Book,testing concurrent systems: a formal approach,240,LNCS,10.1007/3-540-48320-9_6,Tretmans J.,article,RRexportJanTretmans1999
2008,Book,model based testing with labelled transition systems,389,LNCS,10.1007/978-3-540-78917-8_1,Tretmans J.,article,RRexportJanTretmans2008
1996,Book,fme'96: industrial benefit and advances in formal methods,69,LNCS,10.1007/3-540-60973-3,Leeuwen J.V.,article,RRexportJanVanLeeuwen1996
1993,Book,formal techniques in real-time and fault-tolerant systems,362,Springer eBooks,10.1007/978-1-4615-3220-0,Vytopil J.,article,RRexportJanVytopil1993
1996,Book,an improvement of mcmillan's unfolding algorithm,176,LNCS,10.1007/3-540-61042-1_40,Esparza J.,article,RRexportJavierEsparza1996
2001,Book,a bdd-based model checker for recursive programs,165,LNCS,10.1007/3-540-44585-4_30,Esparza J.,article,RRexportJavierEsparza2001
2006,Book,fm 2006: formal methods,206,LNCS,10.1007/11813040,Misra J.,article,RRexportJayadevMisra2006
2007,Book,the why/krakatoa/caduceus platform for deductive program verification,315,Computer Aided Verification,10.1007/978-3-540-73368-3_21,Filliâtre J.C.,article,RRexportJean-ChristopheFilliâtre2007
1996,Book,using on-the-fly verification techniques for the generation of test suites,168,LNCS,10.1007/3-540-61474-5_82,Fernandez J.C.,article,RRexportJean-ClaudeFernandez1996
1987,Journal,the program dependence graph and its use in optimization,2722,ACM Transactions on Programming Languages and Systems,10.1145/24039.24041,Ferrante J.,article,RRexportJeanneFerrante1987
2003,Book,modelling recursive calls with uml state diagrams,27,LNCS,10.1007/3-540-36578-8_10,Tenzer J.,article,RRexportJenniferTenzer2003
2009,Journal,data fusion,1842,ACM Computing Surveys,10.1145/1456650.1456651,Bleiholder J.,article,RRexportJensBleiholder2009
2006,Journal,static program analysis based on virtual register renaming,26,Unknown Venue,None,Singer J.,article,RRexportJeremySinger2006
1975,Journal,the protection of information in computer systems,1397,IEEE CSIT Newsletter,10.1109/csit.1975.6498831,Saltier J.H.,article,RRexportJeromeH.Saltier1975
2008,Book,formal methods for components and objects,17,LNCS,10.1007/978-3-540-92188-2,Aranda J.,article,RRexportJesusAranda2008
2006,Book,from active to passive: progress in testing of internet routing protocols,20,Kluwer Academic Publishers eBooks,10.1007/0-306-47003-9_7,Wu J.,article,RRexportJianpingWu2006
2006,Journal,the mils architecture for high-assurance embedded systems,159,International Journal of Embedded Systems,10.1504/ijes.2006.014859,Foss J.A.,article,RRexportJimAlvesFoss2006
2000,Journal,using analytic network process and goal programming for interdependent information system project selection,597,Computers & Operations Research,10.1016/s0305-0548(99)00057-x,Lee J.W.,article,RRexportJinWooLee2000
1997,Book,communication concepts for mobile agent systems,99,LNCS,10.1007/3-540-62803-7_29,Baumann J.,article,RRexportJoachimBaumann1997
2011,InProceedings,an evolutionary algorithm for the generation of timed test traces for embedded real-time systems,23,Unknown Venue,10.1109/icst.2011.37,Hänsel J.,article,RRexportJoachimHänsel2011
2002,InProceedings,automatic test data generation for structural testing of embedded software systems by evolutionary testing,81,Genetic and Evolutionary Computation Conference,None,Wegener J.,article,RRexportJoachimWegener2002
2010,Journal,lightweight time modeling in timed creol,13,arXiv (Cornell University),10.4204/eptcs.36.4,Bjørk J.,article,RRexportJoakimBjørk2010
2010,Journal,lightweight time modeling in timed creol,13,arXiv (Cornell University),10.4204/eptcs.36.4,Bjørk J.,article,RRexportJoakimBjørk2010
2003,Journal,models in software engineering – an introduction,407,Software & Systems Modeling,10.1007/s10270-003-0020-3,Ludewig J.,article,RRexportJochenLudewig2003
2003,Journal,models in software engineering – an introduction,407,Software & Systems Modeling,10.1007/s10270-003-0020-3,Ludewig J.,article,RRexportJochenLudewig2003
2007,Book,programming erlang: software for a concurrent world,337,Unknown Venue,None,Armstrong J.,article,RRexportJoeArmstrong2007
1996,Book,uppaal: a tool suite for automatic verification of real time systems,716,LNCS,10.1007/bfb0020949,Bengtsson J.,article,RRexportJohanBengtsson1996
1996,Book,uppaal—a tool suite for automatic verification of real-time systems,716,LNCS,10.1007/bfb0020949,Bengtsson J.,article,RRexportJohanBengtsson1996
2004,Book,"timed automata: semantics, algorithms and tools",702,LNCS,10.1007/978-3-540-27755-2_3,Bengtsson J.,article,RRexportJohanBengtsson2004
2004,Book,"timed automata: semantics, algorithms and tools",702,LNCS,10.1007/978-3-540-27755-2_3,Bengtsson J.,article,RRexportJohanBengtsson2004
2005,Book,specifying and generating test cases using observer automata,60,LNCS,10.1007/978-3-540-31848-4_9,Blom J.,article,RRexportJohanBlom2005
2010,Journal,lazy behavioral subtyping,27,The Journal of Logic and Algebraic Programming,10.1016/j.jlap.2010.07.008,Dovland J.,article,RRexportJohanDovland2010
2005,Book,fm 2005: formal methods,1,LNCS,10.1007/b27882,Fitzgerald J.,article,RRexportJohnFitzgerald2005
2001,Journal,prioritising customers and other stakeholders using the ahp,35,European Journal of Marketing,10.1108/eum0000000005728,Jackson J.,article,RRexportJohnJackson2001
1962,InProceedings,towards a mathematical science of computation,472,IFIP Congress,None,McCarthy J.,article,RRexportJohnMcCarthy1962
2002,Book,an overview of formal verification for the time-triggered architecture,55,LNCS,10.1007/3-540-45739-9_7,Rushby J.,article,RRexportJohnRushby2002
2007,Book,model-based software testing and analysis with c#,95,Unknown Venue,10.1017/cbo9780511619540,Jacky J.,article,RRexportJonathanJacky2007
1999,Journal,"concepts, algorithms, and tools for model checking",74,Unknown Venue,None,Katoen J.P.,article,RRexportJoostP.Katoen1999
2004,Journal,an ahp-based methodology to rank critical success factors of executive information systems,182,Computer Standards & Interfaces,10.1016/j.csi.2004.09.002,Salmeron J.L.,article,RRexportJoseL.Salmeron2004
2006,InProceedings,soundness and completeness warnings in esc/java2,32,Unknown Venue,10.1145/1181195.1181200,Kiniry J.R.,article,RRexportJosephR.Kiniry2006
2007,Book,the koa remote voting system: a summary of work to date,21,Trustworthy Global Computing,10.1007/978-3-540-75336-0_16,Kiniry J.R.,article,RRexportJosephR.Kiniry2007
2008,Book,secret ninja formal methods,30,Springer eBooks,10.1007/978-3-540-68237-0_16,Kiniry J.R.,article,RRexportJosephR.Kiniry2008
2003,Book,fast testing of critical properties through passive testing,32,LNCS,10.1007/3-540-44830-6_22,Arnedo J.A.,article,RRexportJoséAntonioArnedo2003
1992,Journal,conditional rewriting logic as a unified model of concurrency,1313,Theoretical Computer Science,10.1016/0304-3975(92)90182-f,Meseguer J.,article,RRexportJoséMeseguer1992
2004,Book,lectures on concurrency and petri nets,267,LNCS,10.1007/b98282,Desel J.,article,RRexportJörgDesel2004
2002,Book,atom3: a tool for multi-formalism and meta-modelling,413,LNCS,10.1007/3-540-45923-5_12,Lara J.D.,article,RRexportJuandeLara2002
2001,Book,modal logics and mu-calculi: an introduction,150,Elsevier eBooks,10.1016/b978-044482830-9/50022-9,Bradfield J.,article,RRexportJulianBradfield2001
2005,Book,proving and disproving termination of higher-order functions,131,LNCS,10.1007/11559306_12,Giesl J.,article,RRexportJürgenGiesl2005
2002,Journal,feature-oriented product line engineering,513,IEEE Software,10.1109/ms.2002.1020288,Kang K.,article,RRexportK.C.Kang2002
2007,InProceedings,feature diagrams and logics: there and back again,270,Software Product Lines,10.1109/splc.2007.19,Czarnecki K.,article,RRexportK.Czarnecki2007
1996,Journal,sheep cloned by nuclear transfer from a cultured cell line,1835,Nature,10.1038/380064a0,Campbell K.H.S.,article,RRexportK.H.S.Campbell1996
1995,Journal,a technique of state space search based on unfolding,279,Formal Methods in System Design,10.1007/bf01384314,McMillan K.L.,article,RRexportK.L.McMillan1995
1995,Unknown,towards reliable modular programs,119,Unknown Venue,None,Leino K.R.,article,RRexportK.RLeino1995
2002,Journal,data abstraction and information hiding,132,ACM Transactions on Programming Languages and Systems,10.1145/570886.570888,Leino K.R.M.,article,RRexportK.RustanM.Leino2002
2007,InProceedings,automatic verification of textbook programs that usecomprehensions,18,Formal Techniques for Java-like Programs,None,Leino K.R.M.,article,RRexportK.RustanM.Leino2007
2010,Book,a polymorphic intermediate verification language: design and logical encoding,85,LNCS,10.1007/978-3-642-12002-2_26,Leino K.R.M.,article,RRexportK.RustanM.Leino2010
2005,InProceedings,vesta: a statistical model-checker and analyzer for probabilistic systems,170,Unknown Venue,10.1109/qest.2005.42,Sen K.,article,RRexportK.Sen2005
1994,Journal,calculating controller area network (can) message response times,450,IFAC Proceedings Volumes,10.1016/s1474-6670(17)45747-8,Tindell K.,article,RRexportK.Tindell1994
2006,Book,theoretical aspects of computing - ictac 2006,53,LNCS,10.1007/11921240,Barkaoui K.,article,RRexportKamelBarkaoui2006
2008,InProceedings,full functional verification of linked data structures,204,Unknown Venue,10.1145/1375581.1375624,Zee K.,article,RRexportKarenZee2008
2004,InProceedings,an automatic testbench generation tool for a systemc functional verification methodology,34,Unknown Venue,10.1145/1016568.1016592,Silva K.R.G.D.,article,RRexportKarinaR.G.daSilva2004
2006,InProceedings,a type system to assure scope safety within safety-critical java modules,20,Unknown Venue,10.1145/1167999.1168017,Nilsen K.,article,RRexportKelvinNilsen2006
1996,Book,the java programming language,1569,Unknown Venue,None,Arnold K.,article,RRexportKenArnold1996
1993,Book,symbolic model checking,1585,Springer eBooks,10.1007/978-1-4615-3190-6,McMillan K.L.,article,RRexportKennethL.McMillan1993
1997,Book,the b method and the b toolkit,11,LNCS,10.1007/bfb0000503,Robinson K.,article,RRexportKenRobinson1997
2015,Book,testing software and systems,10,LNCS,10.1007/978-3-319-25945-1,Fakih K.E.,article,RRexportKhaledEl-Fakih2015
1997,Journal,uppaal in a nutshell,2152,International Journal on Software Tools for Technology Transfer,10.1007/s100090050010,Larsen K.G.,article,RRexportKimG.Larsen1997
1997,Journal,time-abstracted bisimulation: implicit specifications and decidability,47,Information and Computation,10.1006/inco.1997.2623,Larsen K.G.,article,RRexportKimG.Larsen1997
2005,Book,online testing of real-time systems using uppaal,126,LNCS,10.1007/978-3-540-31848-4_6,Larsen K.G.,article,RRexportKimG.Larsen2005
2005,Book,online testing of real-time systems using uppaal,126,LNCS,10.1007/978-3-540-31848-4_6,Larsen K.G.,article,RRexportKimG.Larsen2005
2009,InProceedings,model checking of domain artifacts in product line engineering,146,Unknown Venue,10.1109/ase.2009.16,Lauenroth K.,article,RRexportKimLauenroth2009
2000,Journal,model checking java programs using java pathfinder,791,International Journal on Software Tools for Technology Transfer,10.1007/s100090050043,Havelund K.,article,RRexportKlausHavelund2000
2004,Journal,an overview of the runtime verification tool java pathexplorer,204,Formal Methods in System Design,10.1023/b:form.0000017721.39909.4b,Havelund K.,article,RRexportKlausHavelund2004
2005,Book,"software product line engineering: foundations, principles and techniques",2188,Unknown Venue,None,Pohl K.,article,RRexportKlausPohl2005
2005,Book,software product line engineering,2238,Springer eBooks,10.1007/3-540-28901-1,Pohl K.,article,RRexportKlausPohl2005
2003,Book,verification of reactive systems: formal methods and algorithms,123,Unknown Venue,None,Schneider K.,article,RRexportKlausSchneider2003
2004,Book,verification of reactive systems,74,Springer eBooks,10.1007/978-3-662-10778-2,Schneider K.,article,RRexportKlausSchneider2004
2004,Book,analysis of recursive game graphs using data flow equations,1141,LNCS,10.1007/978-3-540-24622-0_23,Etessami K.,article,RRexportKoushaEtessami2004
2005,Unknown,cute: a concolic unit testing engine for c,282,Unknown Venue,10.21236/ada482657,Sen K.,article,RRexportKoushikSen2005
2008,InProceedings,priority-based scheduling of dynamic segment in flexray network,15,"International Conference on Control, Automation and Systems",10.1109/iccas.2008.4694307,Jung K.H.,article,RRexportKwang-HoJung2008
2003,Journal,runtime verification of timed ltl using disjunctive normalized equation systems,40,Electronic Notes in Theoretical Computer Science,10.1016/s1571-0661(04)81050-8,Kristoffersen K.J.,article,RRexportKåreJellingKristoffersen2003
1993,Book,decidability of bisimulation equivalences for parallel timer processes,190,LNCS,10.1007/3-540-56496-9_24,Čerāns K.,article,RRexportKārlisČerāns1993
2007,Journal,theories for model-based testing: real-time and coverage,68,Unknown Venue,None,Briones L.B.,article,RRexportL.BrandanBriones2007
2002,InProceedings,requirement-based automated black-box test generation,97,Unknown Venue,10.1109/cmpsac.2001.960658,Tahat L.,article,RRexportL.H.Tahat2002
2009,Journal,on the semantics and verification of normative multi-agent systems,21,JUCS - Journal of Universal Computer Science,None,Astefanoaei L.,article,RRexportLacramioaraAstefanoaei2009
2005,Book,test derivation from timed automata,10,LNCS,10.1007/11498490_10,Briones L.B.,article,RRexportLauraBrandánBriones2005
2005,Book,a test generation framework for quiescent real-time systems,99,LNCS,10.1007/978-3-540-31848-4_5,Briones L.B.,article,RRexportLauraBrandánBriones2005
2008,Book,semantic foundations and inference of non-null annotations,43,LNCS,10.1007/978-3-540-68863-1_9,Hubert L.,article,RRexportLaurentHubert2008
2011,Book,sawja: static analysis workshop for java,24,LNCS,10.1007/978-3-642-18070-5_7,Hubert L.,article,RRexportLaurentHubert2011
2011,Book,sawja: static analysis workshop for java,24,LNCS,10.1007/978-3-642-18070-5_7,Hubert L.,article,RRexportLaurentHubert2011
2007,Book,efficient e-matching for smt solvers,245,LNCS,10.1007/978-3-540-73595-3_13,Moura L.D.,article,RRexportLeonardodeMoura2007
2008,Book,z3: an efficient smt solver,5830,LNCS,10.1007/978-3-540-78800-3_24,Moura L.D.,article,RRexportLeonardodeMoura2008
1997,Book,refusal testing for classes of transition systems with inputs and outputs,47,Springer eBooks,10.1007/978-0-387-35271-8_2,Heerink L.,article,RRexportLexHeerink1997
2004,Journal,an overview of jml tools and applications,724,International Journal on Software Tools for Technology Transfer,10.1007/s10009-004-0167-4,Burdy L.,article,RRexportLilianBurdy2004
2010,InProceedings,implementing software product lines using traits,44,Unknown Venue,10.1145/1774088.1774530,Bettini L.,article,RRexportLorenzoBettini2010
2013,Book,time and petri nets,108,Springer eBooks,10.1007/978-3-642-41115-1,Zeugmann L.P.,article,RRexportLouchkaPopova-Zeugmann2013
1987,Book,testing equivalences for event structures,21,LNCS,10.1007/3-540-18419-8_9,Aceto L.,article,RRexportLucaAceto1987
2001,InProceedings,interface automata,1213,Unknown Venue,10.1145/503209.503226,Alfaro L.D.,article,RRexportLucadeAlfaro2001
2002,Book,tutorial introduction to graph transformation: a software engineering perspective,177,LNCS,10.1007/3-540-45832-8_30,Baresi L.,article,RRexportLucianoBaresi2002
2004,Book,tutorial introduction to graph transformation: a software engineering perspective,20,LNCS,10.1007/978-3-540-30203-2_30,Baresi L.,article,RRexportLucianoBaresi2004
2010,Journal,setexp: a method of transformation of timed automata into finite state automata,8,Real-Time Systems,10.1007/s11241-010-9103-8,Ouedraogo L.,article,RRexportLucienOuedraogo2010
2008,Book,imperative functional programming with isabelle/hol,87,LNCS,10.1007/978-3-540-71067-7_14,Bulwahn L.,article,RRexportLukasBulwahn2008
2006,Book,coinductive logic programming,93,LNCS,10.1007/11799573_25,Simon L.,article,RRexportLukeSimon2006
2006,Book,coinductive logic programming,93,LNCS,10.1007/11799573_25,Simon L.,article,RRexportLukeSimon2006
2007,Book,co-logic programming: extending logic programming with coinduction,77,LNCS,10.1007/978-3-540-73420-8_42,Simon L.,article,RRexportLukeSimon2007
2014,Journal,design automation and test in europe (date),40,Unknown Venue,None,Sun L.,article,RRexportLuoSun2014
2000,Book,formal test automation: the conference protocol with tgv/torx,33,IFIP advances in information and communication technology,10.1007/978-0-387-35516-0_14,Bousquet L.D.,article,RRexportLydieDuBousquet2000
2008,Book,a verification framework for normative multi-agent systems,20,LNCS,10.1007/978-3-540-89674-6_9,Aştefănoaei L.,article,RRexportLăcrămioaraAştefănoaei2008
2010,Book,the refinement of choreographed multi-agent systems,4,LNCS,10.1007/978-3-642-11355-0_2,Aştefănoaei L.,article,RRexportLăcrămioaraAştefănoaei2010
2007,Journal,uml activity diagram-based automatic test case generation for java programs,75,The Computer Journal,10.1093/comjnl/bxm057,Chen M.,article,RRexportM.Chen2007
2002,Journal,maude: specification and programming in rewriting logic,728,Theoretical Computer Science,10.1016/s0304-3975(01)00359-0,Clavel M.,article,RRexportM.Clavel2002
2003,InProceedings,a new approach to abstract syntax involving binders,280,Unknown Venue,10.1109/lics.1999.782617,Gabbay M.,article,RRexportM.Gabbay2003
1995,Journal,a process algebra for timed systems,263,Information and Computation,10.1006/inco.1995.1041,Hennessy M.,article,RRexportM.Hennessy1995
2004,InProceedings,t-uppaal: online model-based testing of real-time systems,51,Automated Software Engineering,10.1109/ase.2004.65,Mikucionis M.,article,RRexportM.Mikucionis2004
1992,InProceedings,objtest: an experimental testing tool for algebraic specifications,6,Formal Methods,None,Woodward M.,article,RRexportM.R.Woodward1992
1993,Journal,errors in algebraic specifications and an experimental mutation testing tool,46,Software Engineering Journal,10.1049/sej.1993.0027,Woodward M.,article,RRexportM.R.Woodward1993
2003,InProceedings,"from weak to strong, dead or alive? an analysis of some mutation testing issues",137,Unknown Venue,10.1109/wst.1988.5370,Woodward M.,article,RRexportM.R.Woodward2003
2010,InProceedings,fault coverage measurement of a timed test case generation approach,5,Unknown Venue,10.1109/ecbs.2010.22,AbouTrab M.S.,article,RRexportM.S.AbouTrab2010
2012,InProceedings,specification mutation analysis for validating timed testing approaches based on timed automata,23,Unknown Venue,10.1109/compsac.2012.93,AbouTrab M.S.,article,RRexportM.SaeedAbouTrab2012
2013,Journal,testing real-time embedded systems using timed automata based approaches,25,Journal of Systems and Software,10.1016/j.jss.2012.12.030,AbouTrab M.S.,article,RRexportM.SaeedAbouTrab2013
1999,Journal,passive testing and application to the gsm-map protocol,32,Information and Software Technology,10.1016/s0950-5849(99)00039-7,Tabourier M.,article,RRexportM.Tabourier1999
2008,Journal,algorithms for modeling a class of single timing faults in communication protocols,14,IEEE Transactions on Computers,10.1109/tc.2007.70772,Uyar M.U.,article,RRexportM.UmitUyar2008
2007,InProceedings,product line implementation using aspect-oriented and model-driven software development,193,Unknown Venue,10.1109/splc.2007.28,Voelter M.,article,RRexportM.Voelter2007
2005,Book,timing fault models for systems with multiple timers,8,LNCS,10.1007/11430230_14,Uyar M.Ü.,article,RRexportM.ÜmitUyar2005
2004,Book,compositional testing with ioco,121,LNCS,10.1007/978-3-540-24617-6_7,Bijl M.V.D.,article,RRexportMachielvanderBijl2004
2004,Book,compositional testing with ioco,121,LNCS,10.1007/978-3-540-24617-6_7,Bijl M.V.D.,article,RRexportMachielvanderBijl2004
2007,Journal,atomic action refinement in model based testing,2,CTIT technical report series,None,Bijl M.V.D.,article,RRexportMachielvanderBijl2007
1997,Journal,region-based memory management,623,Information and Computation,10.1006/inco.1996.2613,Tofte M.,article,RRexportMadsTofte1997
2007,Book,"all about maude - a high-performance logical framework: how to specify, program, and verify systems in rewriting logic",632,Unknown Venue,None,Clavel M.,article,RRexportManuelClavel2007
2007,InProceedings,establishing object invariants with delayed types,83,Unknown Venue,10.1145/1297027.1297052,Fahndrich M.,article,RRexportManuelFahndrich2007
2010,InProceedings,embedded contract languages,123,Unknown Venue,10.1145/1774088.1774531,Fähndrich M.,article,RRexportManuelFähndrich2010
2003,Journal,algebraic theory of probabilistic processes,47,The Journal of Logic and Algebraic Programming,10.1016/s1567-8326(02)00069-3,Núñez M.,article,RRexportManuelNúñez2003
2006,Book,conformance testing relations for timed systems,21,LNCS,10.1007/11759744_8,Núñez M.,article,RRexportManuelNúñez2006
2006,Book,conformance testing relations for timed systems,21,LNCS,10.1007/11759744_8,Núñez M.,article,RRexportManuelNúñez2006
2007,Journal,automated generation of test suites from formal specifications of real-time reactive systems,22,Journal of Systems and Software,10.1016/j.jss.2007.05.009,Zheng M.,article,RRexportMaoZheng2007
2010,Book,termination graphs for java bytecode,35,LNCS,10.1007/978-3-642-17172-7_2,Brockschmidt M.,article,RRexportMarcBrockschmidt2010
2011,InProceedings,modular termination proofs of recursive java bytecode programs by term rewriting,20,Rewriting Techniques and Applications,10.4230/lipics.rta.2011.155,Brockschmidt M.,article,RRexportMarcBrockschmidt2011
2012,Book,automated detection of non-termination and nullpointerexceptions for java bytecode,53,LNCS,10.1007/978-3-642-31762-0_9,Brockschmidt M.,article,RRexportMarcBrockschmidt2012
2011,InProceedings,model checking a systemc/tlm design of the amba ahb protocol,16,Unknown Venue,10.1109/estimedia.2011.6088527,Pockrandt M.,article,RRexportMarcelPockrandt2011
2013,Book,model checking memory-related properties of hardware/software co-designs,6,IFIP advances in information and communication technology,10.1007/978-3-642-38853-8_9,Pockrandt M.,article,RRexportMarcelPockrandt2013
2006,Book,modeling and validating distributed embedded real-time systems with vdm++,106,LNCS,10.1007/11813040_11,Verhoef M.,article,RRexportMarcelVerhoef2006
2009,InProceedings,using web security scanners to detect vulnerabilities in web services,154,Unknown Venue,10.1109/dsn.2009.5270294,Vieira M.,article,RRexportMarcoVieira2009
2008,Book,model-based testing of object-oriented reactive systems with spec explorer,239,Springer eBooks,10.1007/978-3-540-78917-8_2,Veanes M.,article,RRexportMargusVeanes2008
1995,Book,"testing can be formal, too",262,LNCS,10.1007/3-540-59293-8_188,Gaudel M.C.,article,RRexportMarie-ClaudeGaudel1995
2004,Book,checking absence of illicit applet interactions: a case study,30,LNCS,10.1007/978-3-540-24721-0_6,Huisman M.,article,RRexportMariekeHuisman2004
2011,Book,cvpp: a tool set for compositional verification of control-flow safety properties,16,LNCS,10.1007/978-3-642-18070-5_8,Huisman M.,article,RRexportMariekeHuisman2011
2002,Journal,the theory of interactive generalized semi-markov processes,96,Theoretical Computer Science,10.1016/s0304-3975(01)00043-3,Bravetti M.,article,RRexportMarioBravetti2002
2008,Unknown,composition of model-based test coverage criteria,4,Unknown Venue,None,Friske M.,article,RRexportMarioFriske2008
2002,Book,if-20: a validation environment for component-based real-time systems,121,LNCS,10.1007/3-540-45657-0_26,Bozga M.,article,RRexportMariusBozga2002
2004,Book,formal methods for the design of real time systems,275,LNCS,10.1007/b110123,Bozga M.,article,RRexportMariusBozga2004
2001,Book,the relationship between program dependence and mutation analysis,47,Springer eBooks,10.1007/978-1-4757-5939-6_4,Harman M.,article,RRexportMarkHarman2001
